Station,Station_Code,Line,Distance_from_prev_line,Time_taken_from_previous_line
Churchgate,CCG,Western,0 KM,0 min
Marine Lines,MEL,Western,1 KM,3 min
Charni Road,CYR,Western,1 KM,2 min
Grant Road,GTR,Western,1 KM,3 min
Mumbai Central,MMCT,Western,1 KM,2 min
Mahalakshmi,MX,Western,1 KM,3 min
Lower Parel,PL,Western,2 KM,3 min
Prabhadevi,PBHD,Western,1 KM,3 min
Dadar,D/DR/DDR,Western,1 KM,2 min
Matunga Road,MRU,Western,2 KM,2 min
Mahim Jn,MM,Western,1 KM,3 min
Bandra,B/BA,Western,2 KM,4 min
Khar Road,KHAR,Western,2 KM,3 min
Santacruz,STC,Western,1 KM,2 min
Vile Parle,VLP,Western,2 KM,3 min
Andheri,A/AD/ADH,Western,2 KM,5 min
Jogeshwari,JOS,Western,2 KM,3 min
Ram Mandir,RMAR,Western,2 KM,3 min
Goregaon,GMN,Western,3 KM,2 min
Malad,MDD,Western,2 KM,4 min
Kandivali,KLE,Western,1 KM,3 min
Borivali,BO/BVI,Western,3 KM,6 min
Dahisar,DIC,Western,2 KM,5 min
Mira Road,MIRA,Western,3 KM,5 min
Bhayander,BY,Western,3 KM,5 min
Naigaon,NIG,Western,6 KM,6 min
Vasai Road,BSR/BS,Western,4 KM,5 min
Nalla Sopara,NSP,Western,4 KM,5 min
Virar,VR,Western,4 KM,6 min
Vaitarna,VTN,Western,8 KM,9 min
Saphale,SAH,Western,8 KM,8 min
Kelve Road,KLV,Western,6 KM,8 min
Palghar,PLG,Western,8 KM,15 min
Umroli Road,UOI,Western,6 KM,6 min
Boisar,BOR,Western,6 KM,6 min
Vangaon,VGN,Western,9 KM,9 min
Dahanu Road,DRD,Western,12 KM,13 min
CSMT,CSMT/ST,Central 1,0 KM,0 min
Masjid,MSD,Central 1,1 KM,3 min
Sandhurst Road,SNRD,Central 1,1 KM,2 min
Byculla,BY,Central 1,2 KM,3 min
Chinchpokli,CHG,Central 1,1 KM,2 min
Currey Road,CRD,Central 1,1 KM,2 min
Parel,PR,Central 1,2 KM,3 min
Dadar,D/DR/DDR,Central 1,1 KM,3 min
Matunga,MTN,Central 1,1 KM,3 min
Sion,SIN,Central 1,1 KM,4 min
Kurla,C/CH,Central 1,1 KM,4 min
Vidhyavihar,VVH,Central 1,2 KM,3 min
Ghatkopar,G,Central 1,2 KM,3 min
Vikhroli,VK,Central 1,4 KM,5 min
Kanjur Marg,KJMG,Central 1,2 KM,3 min
Bhandup,BND,Central 1,2 KM,3 min
Nahur,NHU,Central 1,1 KM,3 min
Mulund,MLND,Central 1,2 KM,3 min
Thane,TNA,Central 1,2 KM,4 min
Kalva,KLVA,Central 1,2 KM,4 min
Mumbra,MBQ,Central 1,3 KM,6 min
Diva Jn,DIVA,Central 1,3 KM,4 min
Kopar,KOPR,Central 1,4 KM,5 min
